p,q1,q2,q3,dipole,nmr
0.285,37.0043645,29.2726068,14.7648586,86.0859,0.0780241
0.286,37.134682,29.3762694,14.8150435,86.3904,0.0782978
0.287,37.2649994,29.4799319,14.865229,86.6949,0.0785716
0.288,37.3953168,29.5835945,14.915415,86.9994,0.0788454
0.289,37.5256342,29.6872571,14.9656016,87.3039,0.0791191
0.29,37.6559517,29.7909197,15.0157887,87.6085,0.0793929
0.291,37.7862691,29.8945822,15.0659764,87.913,0.0796667
0.292,37.9165865,29.9982448,15.1161646,88.2175,0.0799404
0.293,38.0469039,30.1019074,15.1663533,88.5221,0.0802142
0.294,38.1772214,30.2055699,15.2165426,88.8267,0.080488
0.295,38.3075388,30.3092325,15.2667323,89.1313,0.0807617
0.296,38.4378562,30.4128951,15.3169226,89.4358,0.0810355
0.297,38.5681736,30.5165576,15.3671134,89.7404,0.0813093
0.298,38.6984911,30.6202202,15.4173047,90.045,0.081583
0.299,38.8288085,30.7238828,15.4674964,90.3497,0.0818568
0.3,38.9591259,30.8275453,15.5176887,90.6543,0.0821306
0.301,39.0894434,30.9312079,15.5678814,90.9589,0.0824043
0.302,39.2197608,31.0348705,15.6180747,91.2636,0.0826781
0.303,39.3500782,31.138533,15.6682683,91.5682,0.0829519
0.304,39.4803956,31.2421956,15.7184625,91.8729,0.0832256
0.305,39.6107131,31.3458582,15.7686571,92.1776,0.0834994
0.306,39.7410305,31.4495207,15.8188522,92.4823,0.0837732
0.307,39.8713479,31.5531833,15.8690478,92.787,0.084047
0.308,40.0016653,31.6568459,15.9192437,93.0917,0.0843207
0.309,40.1319828,31.7605084,15.9694402,93.3964,0.0845945
0.31,40.2623002,31.864171,16.0196371,93.7011,0.0848683
0.311,40.3926176,31.9678336,16.0698344,94.0059,0.085142
0.312,40.522935,32.0714961,16.1200321,94.3106,0.0854158
0.313,40.6532525,32.1751587,16.1702303,94.6154,0.0856896
0.314,40.7835699,32.2788213,16.2204289,94.9201,0.0859633
0.315,40.9138873,32.3824838,16.2706279,95.2249,0.0862371
0.316,41.0442048,32.4861464,16.3208273,95.5297,0.0865109
0.317,41.1745222,32.589809,16.3710271,95.8345,0.0867846
0.318,41.3048396,32.6934715,16.4212274,96.1393,0.0870584
0.319,41.435157,32.7971341,16.471428,96.4441,0.0873322
0.32,41.5654745,32.9007967,16.5216291,96.7489,0.0876059
0.321,41.6957919,33.0044593,16.5718305,97.0537,0.0878797
0.322,41.8261093,33.1081218,16.6220323,97.3586,0.0881535
0.323,41.9564267,33.2117844,16.6722345,97.6634,0.0884272
0.324,42.0867442,33.315447,16.7224371,97.9683,0.088701
0.325,42.2170616,33.4191095,16.7726401,98.2731,0.0889748
0.326,42.347379,33.5227721,16.8228435,98.578,0.0892485
0.327,42.4776964,33.6264347,16.8730472,98.8829,0.0895223
0.328,42.6080139,33.7300972,16.9232513,99.1878,0.0897961
0.329,42.7383313,33.8337598,16.9734558,99.4927,0.0900698
0.33,42.8686487,33.9374224,17.0236606,99.7976,0.0903436
0.331,42.9989662,34.0410849,17.0738658,100.103,0.0906174
0.332,43.1292836,34.1447475,17.1240713,100.407,0.0908912
0.333,43.259601,34.2484101,17.1742772,100.712,0.0911649
0.334,43.3899184,34.3520726,17.2244834,101.017,0.0914387
0.335,43.5202359,34.4557352,17.27469,101.322,0.0917125
0.336,43.6505533,34.5593978,17.3248969,101.627,0.0919862
0.337,43.7808707,34.6630603,17.3751042,101.932,0.09226
0.338,43.9111881,34.7667229,17.4253118,102.237,0.0925338
0.339,44.0415056,34.8703855,17.4755197,102.542,0.0928075
0.34,44.171823,34.974048,17.525728,102.847,0.0930813
0.341,44.3021404,35.0777106,17.5759366,103.152,0.0933551
0.342,44.4324578,35.1813732,17.6261455,103.457,0.0936288
0.343,44.5627753,35.2850357,17.6763547,103.762,0.0939026
0.344,44.6930927,35.3886983,17.7265643,104.067,0.0941764
0.345,44.8234101,35.4923609,17.7767741,104.372,0.0944501
0.346,44.9537276,35.5960234,17.8269843,104.677,0.0947239
0.347,45.084045,35.699686,17.8771948,104.982,0.0949977
0.348,45.2143624,35.8033486,17.9274056,105.287,0.0952714
0.349,45.3446798,35.9070111,17.9776167,105.592,0.0955452
0.35,45.4749973,36.0106737,18.0278281,105.897,0.095819
0.351,45.6053147,36.1143363,18.0780398,106.203,0.0960927
0.352,45.7356321,36.2179989,18.1282518,106.508,0.0963665
0.353,45.8659495,36.3216614,18.1784641,106.813,0.0966403
0.354,45.996267,36.425324,18.2286766,107.118,0.096914
0.355,46.1265844,36.5289866,18.2788895,107.423,0.0971878
0.356,46.2569018,36.6326491,18.3291027,107.728,0.0974616
0.357,46.3872192,36.7363117,18.3793161,108.033,0.0977353
0.358,46.5175367,36.8399743,18.4295298,108.338,0.0980091
0.359,46.6478541,36.9436368,18.4797438,108.643,0.0982829
0.36,46.7781715,37.0472994,18.529958,108.949,0.0985567
0.361,46.908489,37.150962,18.5801726,109.254,0.0988304
0.362,47.0388064,37.2546245,18.6303874,109.559,0.0991042
0.363,47.1691238,37.3582871,18.6806025,109.864,0.099378
0.364,47.2994412,37.4619497,18.7308178,110.169,0.0996517
0.365,47.4297587,37.5656122,18.7810334,110.474,0.0999255
0.366,47.5600761,37.6692748,18.8312493,110.78,0.100199
0.367,47.6903935,37.7729374,18.8814654,111.085,0.100473
0.368,47.8207109,37.8765999,18.9316818,111.39,0.100747
0.369,47.9510284,37.9802625,18.9818984,111.695,0.101021
0.37,48.0813458,38.0839251,19.0321153,112.0,0.101294
0.371,48.2116632,38.1875876,19.0823325,112.306,0.101568
0.372,48.3419806,38.2912502,19.1325499,112.611,0.101842
0.373,48.4722981,38.3949128,19.1827675,112.916,0.102116
0.374,48.6026155,38.4985753,19.2329854,113.221,0.102389
0.375,48.7329329,38.6022379,19.2832035,113.527,0.102663
0.376,48.8632504,38.7059005,19.3334219,113.832,0.102937
0.377,48.9935678,38.809563,19.3836405,114.137,0.103211
0.378,49.1238852,38.9132256,19.4338594,114.442,0.103484
0.379,49.2542026,39.0168882,19.4840784,114.748,0.103758
0.38,49.3845201,39.1205508,19.5342977,115.053,0.104032
0.381,49.5148375,39.2242133,19.5845173,115.358,0.104306
0.382,49.6451549,39.3278759,19.6347371,115.664,0.10458
0.383,49.7754723,39.4315385,19.684957,115.969,0.104853
0.384,49.9057898,39.535201,19.7351773,116.274,0.105127
0.385,50.0361072,39.6388636,19.7853977,116.579,0.105401
0.386,50.1664246,39.7425262,19.8356184,116.885,0.105675
0.387,50.296742,39.8461887,19.8858393,117.19,0.105948
0.388,50.4270595,39.9498513,19.9360604,117.495,0.106222
0.389,50.5573769,40.0535139,19.9862817,117.801,0.106496
0.39,50.6876943,40.1571764,20.0365032,118.106,0.10677
0.391,50.8180118,40.260839,20.086725,118.411,0.107043
0.392,50.9483292,40.3645016,20.1369469,118.717,0.107317
0.393,51.0786466,40.4681641,20.1871691,119.022,0.107591
0.394,51.208964,40.5718267,20.2373915,119.328,0.107865
0.395,51.3392815,40.6754893,20.2876141,119.633,0.108139
0.396,51.4695989,40.7791518,20.3378369,119.938,0.108412
0.397,51.5999163,40.8828144,20.3880599,120.244,0.108686
0.398,51.7302337,40.986477,20.4382831,120.549,0.10896
0.399,51.8605512,41.0901395,20.4885065,120.854,0.109234
0.4,51.9908686,41.1938021,20.53873,121.16,0.109507
0.401,52.121186,41.2974647,20.5889538,121.465,0.109781
0.402,52.2515034,41.4011272,20.6391778,121.771,0.110055
0.403,52.3818209,41.5047898,20.689402,122.076,0.110329
0.404,52.5121383,41.6084524,20.7396264,122.382,0.110602
0.405,52.6424557,41.7121149,20.7898509,122.687,0.110876
0.406,52.7727732,41.8157775,20.8400757,122.992,0.11115
0.407,52.9030906,41.9194401,20.8903006,123.298,0.111424
0.408,53.033408,42.0231026,20.9405257,123.603,0.111698
0.409,53.1637254,42.1267652,20.9907511,123.909,0.111971
0.41,53.2940429,42.2304278,21.0409766,124.214,0.112245
0.411,53.4243603,42.3340904,21.0912022,124.52,0.112519
0.412,53.5546777,42.4377529,21.1414281,124.825,0.112793
0.413,53.6849951,42.5414155,21.1916541,125.131,0.113066
0.414,53.8153126,42.6450781,21.2418803,125.436,0.11334
0.415,53.94563,42.7487406,21.2921067,125.742,0.113614
0.416,54.0759474,42.8524032,21.3423333,126.047,0.113888
0.417,54.2062648,42.9560658,21.39256,126.353,0.114161
0.418,54.3365823,43.0597283,21.442787,126.658,0.114435
0.419,54.4668997,43.1633909,21.493014,126.964,0.114709
0.42,54.5972171,43.2670535,21.5432413,127.269,0.114983
0.421,54.7275346,43.370716,21.5934687,127.575,0.115256
0.422,54.857852,43.4743786,21.6436963,127.88,0.11553
0.423,54.9881694,43.5780412,21.6939241,128.186,0.115804
0.424,55.1184868,43.6817037,21.744152,128.491,0.116078
0.425,55.2488043,43.7853663,21.7943801,128.797,0.116352
0.426,55.3791217,43.8890289,21.8446084,129.102,0.116625
0.427,55.5094391,43.9926914,21.8948368,129.408,0.116899
0.428,55.6397565,44.096354,21.9450653,129.713,0.117173
0.429,55.770074,44.2000166,21.9952941,130.019,0.117447
